phecode	phenotype	category	num_cases	num_controls	N	K	b_ivw	se_ivw	pval_ivw	robust_hit	mdor80_nominal	mdor80_bonf	power_or1p5_nominal	power_or2_nominal	power_or2_bonf
CD2_BENIGN_PAROTID	Benign neoplasm: Parotid gland	II Neoplasms from hospital discharges (CD2_)	2911	497437	500348	0.00581795070630841	-0.329355624193592	0.217473626847998	0.129908611026662	FALSE	1.8245019912534	2.92587418285124	0.471822785468407	0.897872081305065	0.175942889659557
OFFICIAL_TILASTOKESKUS_DEATH	Alcohol related diseases, tilastokeskus definition, death only	Alcohol related diseases	2900	497448	500348	0.00579596600765867	-0.0693259263661688	0.219809826667707	0.752465195436487	FALSE	1.82656972006457	2.93179718106139	0.470410412033955	0.896785825615213	0.174376810887207
G6_HYDROCEPH	Hydrocephalus	VI Diseases of the nervous system (G6_)	2897	463029	465926	0.00621772556156986	0.269700417645748	0.383484828894042	0.481876061161359	FALSE	1.82737310982014	2.93409990804455	0.469863616145889	0.896362960962952	0.173772780692421
M13_BAKERCYST	Synovial cyst of popliteal space [Baker]	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	2891	357549	360440	0.00802075241371657	-0.304847750895745	0.264870990866666	0.249761374221041	FALSE	1.82951879725224	2.94025391255955	0.46840860169305	0.895231379686474	0.172171641229048
F5_OTHERSUB	Mental and behavioural disorders due to multiple drug use and use of multiple drugs and use of other psychoactive substances	V Mental and behavioural disorders (F5_)	2866	491508	494374	0.00579723043687573	-0.137959277331535	0.228141575976996	0.545372329026316	FALSE	1.83308992457031	2.95050876743553	0.466004188064162	0.89334111386795	0.169545412684648
ERECTILE_DYSFUNCTION	Erectile dysfunction	V Mental and behavioural disorders (F5_)	2886	215272	218158	0.0132289441597374	-0.102792543145331	0.220732958219054	0.64143931885626	FALSE	1.83339491985045	2.95138532030995	0.465799828170344	0.893179279748269	0.169323328429624
M13_OSTEOCHONDROPATHY	Other osteochondropathies	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	2860	491365	494225	0.00578683797865345	-0.0750281303818096	0.219712179721786	0.732739465809	FALSE	1.83424910416567	2.95384084563773	0.465228314820391	0.892725714253704	0.168703185153466
C3_THYROID_GLAND_EXALLC	Malignant neoplasm of thyroid gland, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	2859	378749	381608	0.00749198130018239	0.154187819937681	0.220166443874326	0.483725056896987	FALSE	1.83539963893231	2.95714971003575	0.464460442639179	0.892114037249116	0.16787215004045
AB1_VIRAL_CNS	Viral infections of the central nervous system	I Certain infectious and parasitic diseases (AB1_)	2847	497501	500348	0.00569003973234629	0.168759551396419	0.220482014761565	0.444026326457917	FALSE	1.83673406147914	2.96098946493093	0.463572597737015	0.891403528453459	0.166914381202536
N14_TUBULOINTNEPHRNAS	Tubulo-interstitial nephritis, not specified as acute or chronic	XIV Diseases of the genitourinary system (N14_)	2844	447142	449986	0.00632019662833955	0.0104806784451836	0.220215445187929	0.962040738428757	FALSE	1.83767735368094	2.96370507800277	0.462946767104076	0.890900591240316	0.166241263766888
O15_ICP_EXMORE	Intrahepatic Cholestasis of Pregnancy (ICP)  (more control exclusions)	XV Pregnancy, childbirth and the puerperium (O15_)	2853	177289	180142	0.0158375059675145	-0.248528851578145	0.221820335984997	0.2625407581299	FALSE	1.84130114175826	2.97414766597654	0.460556187857272	0.888963320602111	0.163685281086924
CHRONOTH	Other Crohn's disease	Gastrointestinal endpoints	2819	476577	479396	0.00588031606438101	0.24280968876926	0.278066397414233	0.382549938521205	FALSE	1.84238235757285	2.97726651040985	0.459847090246176	0.888383746903393	0.162931758389424
