phecode	panel	n_iv	phenotype	category	num_cases	num_controls	b_egger	b_ivw	b_weighted_median	b_weighted_mode	se_egger	se_ivw	se_weighted_median	se_weighted_mode	pval_egger	pval_ivw	pval_weighted_median	pval_weighted_mode	q_stat	q_pval	egger_intercept	egger_intercept_pval	sens_b_presso_corrected	sens_b_presso_raw	sens_se_presso_corrected	sens_se_presso_raw	sens_pval_presso_corrected	sens_pval_presso_raw	pgs_narrow_n_snps	pgs_narrow_b	pgs_narrow_se	pgs_narrow_pval	pgs_wide_n_snps	pgs_wide_b	pgs_wide_se	pgs_wide_pval	kim_n_iv	kim_b_ivw	kim_se_ivw	kim_pval_ivw	kim_concordant_ivw	best_pp_h4	n_coloc_tested	n_coloc_pph4_gt0p5	n_coloc_pph4_gt0p8	top_coloc_gene	top_coloc_tissue	robust_hit	coloc_strengthened	ivw_fdr_q_within_panel
AB1_ANOGENITAL_HERPES_SIMPLEX	tier1_apoe_inclusive	6	Anogenital herpesviral [herpes simplex] infection	I Certain infectious and parasitic diseases (AB1_)	2510	485458	-0.119067221680015	-0.0610176957296418	-0.0953031725814241	-0.101766118088502	0.150683900533078	0.0880906383431909	0.0979396179077368	0.382261930834699	0.473631195337239	0.488517003006627	0.330513090715437	0.800698573574964	3.9270265876796	0.55996954068937	0.0114099680974873	0.65966956038728							3	1.40024522321508	0.550947260069463	0.0110370632710742	50	-0.4114232805159	0.486258876590564	0.397497367949898	4	-0.0824198867396468	0.0629051418334433	0.190119745383651	TRUE							FALSE	FALSE	0.754588579717792
AB1_ANOGENITAL_HERPES_SIMPLEX	tier1_apoe_narrow_excl	5	Anogenital herpesviral [herpes simplex] infection	I Certain infectious and parasitic diseases (AB1_)	2510	485458	-0.0668392756667409	0.00965611496858744	-0.0176560234600305	-0.0176066114063086	0.162098886888013	0.0931756695660866	0.103460861645834	0.331709240473734	0.707787378544684	0.917460250894374	0.864495731616648	0.960214512810115	1.91084736667581	0.752152039290297	0.0161040989890757	0.604569549658245							3	1.40024522321508	0.550947260069463	0.0110370632710742	50	-0.4114232805159	0.486258876590564	0.397497367949898	3	-0.0244192181453736	0.0691245144992378	0.723890361897154	FALSE							FALSE	FALSE	0.977713226071594
AB1_ANOGENITAL_HERPES_SIMPLEX	tier1_apoe_wide_excl	3	Anogenital herpesviral [herpes simplex] infection	I Certain infectious and parasitic diseases (AB1_)	2510	485458	0.0537027353718363	-0.0513025571613328	-0.0172279147280926	0.0411505749292285	0.842416880880943	0.234246541291022	0.269310195657033	0.336978585187036	0.959471344303016	0.826641519229439	0.948993695997298	0.913970871941562	0.238252053415921	0.887695920317628	-0.0105071823559875	0.917847909148292							3	1.40024522321508	0.550947260069463	0.0110370632710742	50	-0.4114232805159	0.486258876590564	0.397497367949898					FALSE							FALSE	FALSE	0.998945149830335
AB1_ANOGENITAL_HERPES_SIMPLEX	tier2_apoe_narrow_excl	13	Anogenital herpesviral [herpes simplex] infection	I Certain infectious and parasitic diseases (AB1_)	2510	485458	-0.00167151206747054	0.0573810830426667	0.0181911873711044	0.0262156227357405	0.0604868912249214	0.048343047568426	0.0605047642295704	0.353372541100594	0.978448815103194	0.235244873127258	0.763675979875832	0.942083982929754	12.5449836504299	0.402961153812421	0.0229319724373555	0.145793397379614							3	1.40024522321508	0.550947260069463	0.0110370632710742	50	-0.4114232805159	0.486258876590564	0.397497367949898	6	-0.0204631894103885	0.0999378401787512	0.837760287091273	FALSE							FALSE	FALSE	0.808388195510434
AB1_ANOGENITAL_HERPES_SIMPLEX	tier2_apoe_wide_excl	11	Anogenital herpesviral [herpes simplex] infection	I Certain infectious and parasitic diseases (AB1_)	2510	485458	0.0202118087429485	0.0674178161701475	0.0747289065010383	0.0452869411658745	0.0644360706366698	0.0554947994482604	0.0659220281599759	0.493054130229803	0.760918126215093	0.224423588169839	0.256964312256558	0.928631290324872	10.790010353848	0.374110558912427	0.0210180630598977	0.22017656400268							3	1.40024522321508	0.550947260069463	0.0110370632710742	50	-0.4114232805159	0.486258876590564	0.397497367949898	4	0.217394652106902	0.922265329143674	0.813651406151972	TRUE							FALSE	FALSE	0.999127573443565
AB1_BACTINF_NOS	tier1_apoe_inclusive	6	Bacterial infection, other or unspecified	I Certain infectious and parasitic diseases (AB1_)	25506	439048	-0.254911239124021	-0.167503453192216	-0.193579865842814	-0.201710476920658	0.0542782336823802	0.039818132971351	0.0331270261051686	0.163214007285129	0.00933343034602781	2.5911198990369e-05	5.10959450296582e-09	0.271401066434082	9.24903422473337	0.0995338895426886	0.0168659972724995	0.118604963789472							3	-0.055802373406767	0.179584274917779	0.756005246667654	50	0.204317483179878	0.156414672139137	0.191465777214718	4	-0.123057361945861	0.0339802746442768	0.000292973218378908	TRUE							TRUE	FALSE	0.000657810116303884
AB1_BACTINF_NOS	tier1_apoe_narrow_excl	5	Bacterial infection, other or unspecified	I Certain infectious and parasitic diseases (AB1_)	25506	439048	-0.154264977157187	-0.106760810774939	-0.114975520333339	-0.125860908427669	0.06212841471753	0.0351454715683065	0.0339421174687588	0.141337656485435	0.0890331442497354	0.00238404391723949	0.000705584973865338	0.423519796488158	5.26709296069998	0.260973263086825	0.00993031263037371	0.4190006984822							3	-0.055802373406767	0.179584274917779	0.756005246667654	50	0.204317483179878	0.156414672139137	0.191465777214718	3	-0.075088920067099	0.0411029304680476	0.0677222103304188	TRUE							FALSE	FALSE	0.0415985774936308
AB1_BACTINF_NOS	tier1_apoe_wide_excl	3	Bacterial infection, other or unspecified	I Certain infectious and parasitic diseases (AB1_)	25506	439048	-0.0865538348439102	0.0363188157535855	0.0180021233056724	0.00420338053296568	0.274309971968302	0.0762249862705119	0.087729955442695	0.109193154745048	0.805419972342121	0.633740541896928	0.837416435386445	0.97279006739738	0.537860612111627	0.764196513661468	0.0122832227725694	0.722227145167368							3	-0.055802373406767	0.179584274917779	0.756005246667654	50	0.204317483179878	0.156414672139137	0.191465777214718					FALSE							FALSE	FALSE	0.998945149830335
AB1_BACTINF_NOS	tier2_apoe_narrow_excl	13	Bacterial infection, other or unspecified	I Certain infectious and parasitic diseases (AB1_)	25506	439048	-0.0391068928977181	-0.0330527146994551	-0.00761608644833786	-0.0224771270095006	0.0253266540417489	0.019099244036297	0.0227428950236522	0.134718954333001	0.150829565961369	0.0835272157675072	0.737717408617429	0.870270779539833	18.448289462088	0.102741387775109	0.00235558962762638	0.708401273986341							3	-0.055802373406767	0.179584274917779	0.756005246667654	50	0.204317483179878	0.156414672139137	0.191465777214718	6	-0.0692336109218617	0.0330316537478103	0.0360841657738608	TRUE							FALSE	FALSE	0.632203075020648
AB1_BACTINF_NOS	tier2_apoe_wide_excl	11	Bacterial infection, other or unspecified	I Certain infectious and parasitic diseases (AB1_)	25506	439048	-0.0234830783108682	-0.00579356100641742	-0.00495331818193114	-0.0105503240337105	0.0208882717323473	0.017353846657186	0.0216212283642772	0.12795290986976	0.290007948096941	0.738493651438984	0.818794976392488	0.935912213493825	6.28830103751757	0.790487769244155	0.00788043406304154	0.162449165040509							3	-0.055802373406767	0.179584274917779	0.756005246667654	50	0.204317483179878	0.156414672139137	0.191465777214718	4	0.281262224270626	0.172829804882646	0.103653399848536	FALSE							FALSE	FALSE	0.999127573443565
AB1_BACT_BIR_OTHER_INF_AGENTS	tier1_apoe_inclusive	6	Bacterial, viral and other infectious agents	I Certain infectious and parasitic diseases (AB1_)	3521	496827	0.126591798628443	0.0660127017425455	0.0985221263043032	0.108083312844041	0.127529297131304	0.0745487072149533	0.0828704302266782	0.312367359921995	0.377068649705334	0.375888310420776	0.234491026871697	0.743416534450345	2.9065385530754	0.714392201453864	-0.0118768256453694	0.589670113457792							3	-0.427885227675496	0.464873541478595	0.357346216553031	50	0.514355174813481	0.412519926813107	0.212448321089747	4	0.0784574425638347	0.0532795409676934	0.140869100823092	TRUE							FALSE	FALSE	0.677718442843415
AB1_BACT_BIR_OTHER_INF_AGENTS	tier1_apoe_narrow_excl	5	Bacterial, viral and other infectious agents	I Certain infectious and parasitic diseases (AB1_)	3521	496827	0.0893803514491252	0.0367048238294974	0.0554089868407676	0.0610120810271099	0.13666317874572	0.0785904427779163	0.0846359592429006	0.269101006218513	0.559761484751849	0.640471775058086	0.512677479403469	0.831752626788647	1.40110296982876	0.844003292296426	-0.0110950214189348	0.669685277974661							3	-0.427885227675496	0.464873541478595	0.357346216553031	50	0.514355174813481	0.412519926813107	0.212448321089747	3	0.048487160875315	0.0582820820433518	0.405443146109971	TRUE							FALSE	FALSE	0.887682833768913
AB1_BACT_BIR_OTHER_INF_AGENTS	tier1_apoe_wide_excl	3	Bacterial, viral and other infectious agents	I Certain infectious and parasitic diseases (AB1_)	3521	496827	-0.326199745414247	0.0411090897334003	0.00623682225507492	-0.018171932402217	0.711982569923708	0.19776625483764	0.227267047856771	0.25606664410373	0.726497650273131	0.835332770574346	0.978106638434694	0.949882776588339	0.310720598888945	0.856106667152316	0.0367012441289896	0.686254601553684							3	-0.427885227675496	0.464873541478595	0.357346216553031	50	0.514355174813481	0.412519926813107	0.212448321089747					FALSE							FALSE	FALSE	0.998945149830335
AB1_BACT_BIR_OTHER_INF_AGENTS	tier2_apoe_narrow_excl	13	Bacterial, viral and other infectious agents	I Certain infectious and parasitic diseases (AB1_)	3521	496827	0.0217726045887599	0.0235842504422156	0.00844795663631321	0.0235856121973095	0.0509573615414577	0.0398286393366849	0.0525100574017869	0.25874895742906	0.677425582451105	0.553754827000693	0.872185835834453	0.928875342134505	5.10176916159188	0.954493062797017	0.000704017221796184	0.9555708524896							3	-0.427885227675496	0.464873541478595	0.357346216553031	50	0.514355174813481	0.412519926813107	0.212448321089747	6	0.0449868908170156	0.0578005514833292	0.436384817436629	TRUE							FALSE	FALSE	0.926959601644126
AB1_BACT_BIR_OTHER_INF_AGENTS	tier2_apoe_wide_excl	11	Bacterial, viral and other infectious agents	I Certain infectious and parasitic diseases (AB1_)	3521	496827	0.00781597455334918	0.0201914653622604	-0.00257429367809768	0.0102041109816001	0.0541386154186027	0.0449897381610089	0.0557189355497963	0.35527236592584	0.888389702561046	0.653574802200605	0.963149714482185	0.977651485964669	3.98568030756633	0.94799065662781	0.00551124673059817	0.690727855971955							3	-0.427885227675496	0.464873541478595	0.357346216553031	50	0.514355174813481	0.412519926813107	0.212448321089747	4	-0.140367977682028	0.448772484588867	0.754446253705335	FALSE							FALSE	FALSE	0.999127573443565
AB1_BACT_INTEST_OTH	tier1_apoe_inclusive	6	Other bacterial intestinal infections	I Certain infectious and parasitic diseases (AB1_)	7671	444292	-0.27495952094186	-0.104085906853937	-0.112764276733384	-0.178158696860486	0.0885063704784351	0.0594223943223173	0.058784058908687	0.252932584819143	0.0359879642224666	0.0798378609074752	0.0550755337983649	0.512645517341684	6.62955435164675	0.249680197626123	0.0330491522677473	0.0762883327282489							3	-0.203388091761926	0.316645430269749	0.520664613056066	50	-0.0895412947907412	0.279079263662957	0.748327561159272	4	-0.104225201616341	0.0370830226473457	0.00494506362736772	TRUE							FALSE	FALSE	0.287562455534018
AB1_BACT_INTEST_OTH	tier1_apoe_narrow_excl	5	Other bacterial intestinal infections	I Certain infectious and parasitic diseases (AB1_)	7671	444292	-0.206549112633488	-0.0752704758026482	-0.0870147677609913	-0.109951624803262	0.0938700890250021	0.0540700307542501	0.056671348340125	0.235996655912716	0.115131922846108	0.163894436609109	0.124678761817154	0.665523437214505	4.01266672435211	0.404294309221929	0.0275054364131281	0.185888823622821							3	-0.203388091761926	0.316645430269749	0.520664613056066	50	-0.0895412947907412	0.279079263662957	0.748327561159272	3	-0.0778358420246815	0.0401133136778329	0.0523311929810272	TRUE							FALSE	FALSE	0.529712203742789
