analysis	n	beta_pgs	se_pgs	ci_lo	ci_hi	p_pgs	r2	adj_r2
primary_tau_meta_temp_xs	218	0.0809520504655307	0.01896429164222398	0.043566235419252614	0.11833786551180878	2.982388427957e-5	0.20006571723234365	0.16944622315511282
sens_tau_meta_temp_pvc_xs	204	0.1381244418777667	0.03800285091377908	0.06317506534586101	0.2130738184096724	3.561229579383663e-4	0.17851515098828283	0.14481320846472512
sens_amy_centiloid_xs	719	33.28161389137149	1.0764643789250674	31.168179731190193	35.39504805155279	1.2831780254224701e-133	0.6629744902526085	0.6591770197202436
sens_tau_apoe_e4_carrier	72	0.14749497625501493	0.04478998466855776	0.05801669566620227	0.23697325684382758	0.0016167316018173225	0.2181135774023266	0.13259474993070608
sens_tau_apoe_e4_noncarrier	146	0.0435138367808612	0.01507528629681188	0.013705419789094297	0.0733222537726281	0.004523871777930457	0.10521769479776484	0.05983018656286887
sens_tau_eur_only_xs	195	0.09636849602881394	0.021922505657507838	0.0531197743686168	0.13961721768901109	1.8522579859066335e-5	0.2081517736823298	0.17409378545361276
interaction_pgs_x_apoe_e4	218	0.11697368632501319	0.037717167192362074	0.04261675570078807	0.1913306169492383	0.002193595147723807	0.2354212283532614	0.20233849304162366
